Referee,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed
M Oliver,15.0,9.0,3.0,1.0,0.0,1.0
M Clattenburg,17.0,17.0,6.0,4.0,0.0,0.0
A Taylor,9.0,12.0,2.0,5.0,0.0,0.0
M Dean,9.0,10.0,4.0,2.0,0.0,0.0
M Oliver,10.0,12.0,2.0,2.0,0.0,0.0
J Moss,9.0,10.0,0.0,3.0,0.0,0.0
L Mason,11.0,13.0,1.0,2.0,0.0,0.0
C Pawson,12.0,6.0,0.0,0.0,0.0,0.0
M Dean,12.0,8.0,2.0,1.0,0.0,0.0
L Mason,7.0,9.0,1.0,0.0,0.0,1.0
M Clattenburg,10.0,13.0,2.0,3.0,0.0,0.0
M Atkinson,10.0,9.0,2.0,2.0,0.0,0.0
J Moss,21.0,10.0,1.0,2.0,0.0,0.0
C Pawson,15.0,9.0,3.0,1.0,1.0,0.0
C Pawson,11.0,9.0,0.0,3.0,0.0,0.0
A Taylor,12.0,12.0,2.0,2.0,0.0,0.0
K Friend,13.0,10.0,3.0,2.0,0.0,0.0
M Atkinson,6.0,12.0,0.0,2.0,0.0,0.0
M Dean,9.0,16.0,3.0,2.0,0.0,1.0
M Oliver,15.0,5.0,5.0,1.0,0.0,0.0
M Oliver,16.0,15.0,2.0,2.0,0.0,0.0
L Mason,11.0,10.0,1.0,2.0,1.0,0.0
J Moss,8.0,13.0,2.0,4.0,0.0,0.0
K Friend,8.0,12.0,2.0,2.0,0.0,0.0
A Marriner,7.0,14.0,0.0,2.0,0.0,0.0
M Dean,9.0,9.0,1.0,1.0,0.0,0.0
C Pawson,9.0,8.0,1.0,1.0,0.0,0.0
M Oliver,10.0,16.0,1.0,1.0,0.0,0.0
A Marriner,8.0,11.0,3.0,3.0,0.0,0.0
M Atkinson,8.0,6.0,2.0,3.0,1.0,0.0
J Moss,12.0,12.0,1.0,1.0,1.0,0.0
A Taylor,17.0,14.0,3.0,2.0,0.0,1.0
L Mason,11.0,10.0,1.0,0.0,0.0,0.0
C Pawson,9.0,14.0,4.0,4.0,0.0,1.0
K Friend,12.0,9.0,2.0,1.0,0.0,0.0
L Mason,14.0,15.0,2.0,2.0,0.0,0.0
M Clattenburg,15.0,11.0,1.0,3.0,0.0,0.0
K Friend,12.0,11.0,2.0,0.0,0.0,0.0
J Moss,15.0,13.0,0.0,2.0,0.0,0.0
M Dean,17.0,12.0,4.0,2.0,0.0,1.0
M Atkinson,13.0,14.0,4.0,3.0,0.0,0.0
L Mason,9.0,10.0,1.0,1.0,1.0,0.0
M Clattenburg,14.0,16.0,2.0,2.0,0.0,0.0
C Pawson,16.0,8.0,1.0,0.0,0.0,0.0
J Moss,11.0,10.0,1.0,1.0,0.0,0.0
M Atkinson,8.0,17.0,0.0,3.0,0.0,0.0
M Oliver,6.0,14.0,0.0,3.0,1.0,0.0
A Taylor,15.0,15.0,4.0,4.0,0.0,0.0
M Atkinson,6.0,15.0,1.0,4.0,1.0,0.0
A Taylor,7.0,5.0,0.0,1.0,0.0,0.0
M Oliver,8.0,14.0,0.0,3.0,0.0,0.0
M Dean,15.0,10.0,1.0,0.0,0.0,0.0
L Mason,9.0,15.0,2.0,3.0,0.0,0.0
A Marriner,12.0,6.0,4.0,2.0,0.0,0.0
M Clattenburg,5.0,9.0,0.0,1.0,0.0,0.0
M Atkinson,4.0,11.0,1.0,4.0,1.0,0.0
K Friend,18.0,9.0,4.0,1.0,0.0,0.0
C Pawson,13.0,8.0,2.0,2.0,0.0,0.0
A Taylor,23.0,14.0,2.0,2.0,1.0,0.0
J Moss,11.0,19.0,2.0,4.0,0.0,0.0
A Marriner,8.0,5.0,1.0,0.0,0.0,0.0
K Friend,16.0,15.0,2.0,3.0,0.0,1.0
M Dean,12.0,13.0,2.0,4.0,0.0,0.0
A Taylor,22.0,5.0,4.0,0.0,0.0,1.0
C Pawson,14.0,7.0,2.0,1.0,0.0,0.0
M Oliver,8.0,12.0,0.0,0.0,0.0,0.0
J Moss,6.0,13.0,1.0,0.0,0.0,0.0
A Marriner,14.0,9.0,2.0,2.0,0.0,0.0
A Taylor,9.0,14.0,5.0,3.0,0.0,0.0
M Atkinson,9.0,10.0,1.0,2.0,0.0,0.0
M Oliver,18.0,6.0,1.0,1.0,1.0,1.0
C Pawson,12.0,11.0,1.0,4.0,1.0,0.0
M Dean,9.0,7.0,0.0,1.0,0.0,0.0
J Moss,11.0,11.0,0.0,3.0,0.0,0.0
M Clattenburg,13.0,11.0,1.0,1.0,0.0,0.0
A Marriner,9.0,6.0,1.0,0.0,0.0,0.0
J Moss,9.0,13.0,0.0,0.0,0.0,0.0
M Dean,12.0,5.0,3.0,3.0,0.0,0.0
M Atkinson,5.0,14.0,1.0,3.0,0.0,0.0
M Oliver,11.0,12.0,3.0,2.0,0.0,0.0
M Clattenburg,12.0,14.0,0.0,2.0,0.0,0.0
A Marriner,12.0,12.0,1.0,1.0,0.0,0.0
M Atkinson,8.0,12.0,0.0,1.0,0.0,0.0
M Dean,11.0,12.0,2.0,2.0,0.0,0.0
L Mason,12.0,12.0,3.0,1.0,0.0,0.0
