date,home_team,away_team,home_score,away_score,home_position,away_position,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_avg_goals_scored_per_match,away_avg_goals_scored_per_match,home_avg_goals_conceded_per_match,away_avg_goals_conceded_per_match,home_clean_sheets,away_clean_sheets,home_biggest_win,away_biggest_win,home_worst_defeat,away_worst_defeat,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls_conceded,away_fouls_conceded
09/14/2013,Hull City,Cardiff City,1,1,16,20,10,7,7,9,21,22,1,0.84,1.39,1.95,10,7,6 - 0 v Fulham ( H),3 - 1 v Fulham ( H),4 - 1 v Southampton ( A),0 - 4 v Hull ( H),46.0,54.0,5.0,2.0,18.0,10.0,627.0,705.0,428.0,505.0,13.0,10.0,34.0,39.0,6.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,7.0,9.0
09/14/2013,Manchester United,Crystal Palace,2,0,7,11,19,13,7,6,12,19,1.68,0.87,1.13,1.26,13,12,0 - 4 v Newcastle ( A),0 - 3 v Cardiff ( A),4 - 1 v Man City ( A),1 - 4 v Fulham ( H),60.4,39.6,8.0,0.0,20.0,4.0,783.0,570.0,556.0,377.0,13.0,24.0,22.0,33.0,10.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,10.0,12.0
09/14/2013,Stoke City,Manchester City,0,0,9,1,13,27,11,5,14,6,1.18,2.68,1.37,0.97,9,16,1 - 4 v Aston Villa ( A),7 - 0 v Norwich ( H),5 - 1 v Newcastle ( A),3 - 2 v Cardiff ( A),42.1,57.9,3.0,3.0,11.0,10.0,567.0,722.0,356.0,509.0,23.0,21.0,15.0,35.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,11.0
09/14/2013,Sunderland,Arsenal,1,3,14,4,10,24,8,7,20,7,1.08,1.79,1.58,1.08,11,17,4 - 0 v Cardiff ( H),4 - 1 v Norwich ( H),5 - 1 v Spurs ( A),6 - 0 v Chelsea ( A),30.6,69.4,3.0,6.0,18.0,14.0,474.0,855.0,273.0,656.0,25.0,16.0,22.0,18.0,6.0,6.0,4.0,0.0,1.0,2.0,0.0,0.0,13.0,11.0
09/14/2013,Tottenham Hotspur,Norwich City,2,0,6,18,21,8,6,9,11,21,1.45,0.74,1.34,1.63,14,12,5 - 1 v Sunderland ( H),3 - 1 v West Ham ( H),6 - 0 v Man City ( A),7 - 0 v Man City ( A),69.0,31.0,7.0,1.0,23.0,5.0,894.0,472.0,653.0,289.0,15.0,29.0,23.0,26.0,8.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,4.0,12.0
09/15/2013,Southampton,West Ham United,0,0,8,13,15,11,11,7,12,20,1.42,1.05,1.21,1.34,15,14,4 - 0 v Newcastle ( H),0 - 3 v Spurs ( A),4 - 1 v Man City ( A),4 - 1 v Liverpool ( A),58.7,41.3,5.0,1.0,15.0,6.0,666.0,517.0,413.0,282.0,26.0,19.0,44.0,31.0,10.0,5.0,0.0,2.0,1.0,3.0,0.0,0.0,12.0,12.0
09/16/2013,Swansea City,Liverpool,2,2,12,2,11,26,9,6,18,6,1.42,2.66,1.42,1.32,8,10,4 - 0 v Sunderland ( H),0 - 5 v Spurs ( A),1 - 4 v Man Utd ( H),3 - 1 v Hull ( A),58.9,41.1,9.0,5.0,18.0,12.0,836.0,637.0,628.0,432.0,18.0,16.0,35.0,43.0,3.0,7.0,1.0,2.0,2.0,3.0,0.0,0.0,8.0,10.0
09/21/2013,Chelsea,Fulham,2,0,3,19,25,9,7,5,6,24,1.87,1.05,0.71,2.24,18,5,6 - 0 v Arsenal ( H),1 - 4 v Crystal Palace ( A),2 - 0 v Newcastle ( A),6 - 0 v Hull ( A),64.4,35.6,9.0,1.0,24.0,4.0,793.0,552.0,604.0,332.0,27.0,16.0,15.0,35.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,9.0
09/21/2013,Liverpool,Southampton,0,1,2,8,26,15,6,11,6,12,2.66,1.42,1.32,1.21,10,15,0 - 5 v Spurs ( A),4 - 0 v Newcastle ( H),3 - 1 v Hull ( A),4 - 1 v Man City ( A),55.2,44.8,5.0,7.0,10.0,12.0,707.0,598.0,465.0,373.0,20.0,38.0,27.0,29.0,6.0,6.0,3.0,5.0,0.0,1.0,0.0,0.0,6.0,9.0
09/21/2013,Newcastle United,Hull City,2,3,10,16,15,10,4,7,19,21,1.13,1,1.55,1.39,10,10,5 - 1 v Stoke ( H),6 - 0 v Fulham ( H),4 - 0 v Man City ( A),4 - 1 v Southampton ( A),61.3,38.7,2.0,5.0,15.0,12.0,755.0,569.0,552.0,340.0,17.0,28.0,23.0,37.0,3.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,11.0,8.0
09/21/2013,Norwich City,Aston Villa,0,1,18,15,8,10,9,8,21,20,0.74,1.03,1.63,1.61,12,9,3 - 1 v West Ham ( H),4 - 1 v Norwich ( H),7 - 0 v Man City ( A),4 - 0 v Man City ( A),64.2,35.8,2.0,4.0,13.0,16.0,683.0,493.0,464.0,264.0,14.0,25.0,10.0,45.0,7.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,15.0,12.0
09/21/2013,West Bromwich Albion,Sunderland,3,0,17,14,7,10,15,8,16,20,1.13,1.08,1.55,1.58,7,11,3 - 0 v Sunderland ( H),4 - 0 v Cardiff ( H),4 - 1 v Liverpool ( A),5 - 1 v Spurs ( A),54.1,45.9,4.0,0.0,13.0,7.0,702.0,572.0,479.0,400.0,14.0,23.0,41.0,23.0,5.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,9.0,12.0
09/21/2013,West Ham United,Everton,2,3,13,5,11,21,7,9,20,8,1.05,1.61,1.34,1.03,14,15,0 - 3 v Spurs ( A),4 - 0 v Stoke ( H),4 - 1 v Liverpool ( A),4 - 0 v Liverpool ( A),37.7,62.3,2.0,4.0,10.0,10.0,510.0,748.0,319.0,526.0,26.0,17.0,29.0,41.0,5.0,5.0,0.0,2.0,2.0,1.0,1.0,0.0,17.0,12.0
09/22/2013,Arsenal,Stoke City,3,1,4,9,24,13,7,11,7,14,1.79,1.18,1.08,1.37,17,9,4 - 1 v Norwich ( H),1 - 4 v Aston Villa ( A),6 - 0 v Chelsea ( A),5 - 1 v Newcastle ( A),50.4,49.6,9.0,3.0,17.0,10.0,706.0,663.0,526.0,507.0,23.0,20.0,14.0,9.0,6.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,8.0,14.0
09/22/2013,Cardiff City,Tottenham Hotspur,0,1,20,6,7,21,9,6,22,11,0.84,1.45,1.95,1.34,7,14,3 - 1 v Fulham ( H),5 - 1 v Sunderland ( H),0 - 4 v Hull ( H),6 - 0 v Man City ( A),36.3,63.7,0.0,12.0,6.0,29.0,510.0,720.0,288.0,513.0,23.0,15.0,51.0,16.0,2.0,12.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,8.0
09/22/2013,Crystal Palace,Swansea City,0,2,11,12,13,11,6,9,19,18,0.87,1.42,1.26,1.42,12,8,0 - 3 v Cardiff ( A),4 - 0 v Sunderland ( H),1 - 4 v Fulham ( H),1 - 4 v Man Utd ( H),43.4,56.6,1.0,7.0,9.0,15.0,617.0,787.0,413.0,550.0,20.0,16.0,20.0,49.0,6.0,8.0,1.0,4.0,2.0,2.0,0.0,0.0,13.0,11.0
09/22/2013,Manchester City,Manchester United,4,1,1,7,27,19,5,7,6,12,2.68,1.68,0.97,1.13,16,13,7 - 0 v Norwich ( H),0 - 4 v Newcastle ( A),3 - 2 v Cardiff ( A),4 - 1 v Man City ( A),41.6,58.4,5.0,3.0,18.0,14.0,524.0,697.0,334.0,478.0,22.0,14.0,28.0,38.0,8.0,4.0,1.0,4.0,1.0,2.0,0.0,0.0,8.0,12.0
09/28/2013,Aston Villa,Manchester City,3,2,15,1,10,27,8,5,20,6,1.03,2.68,1.61,0.97,9,16,4 - 1 v Norwich ( H),7 - 0 v Norwich ( H),4 - 0 v Man City ( A),3 - 2 v Cardiff ( A),33.3,66.7,4.0,7.0,8.0,21.0,451.0,757.0,273.0,554.0,18.0,14.0,29.0,19.0,2.0,13.0,0.0,5.0,1.0,1.0,0.0,0.0,13.0,9.0
09/28/2013,Fulham,Cardiff City,1,2,19,20,9,7,5,9,24,22,1.05,0.84,2.24,1.95,5,7,1 - 4 v Crystal Palace ( A),3 - 1 v Fulham ( H),6 - 0 v Hull ( A),0 - 4 v Hull ( H),48.6,51.4,5.0,5.0,9.0,22.0,603.0,645.0,388.0,430.0,10.0,16.0,32.0,35.0,11.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0
09/28/2013,Hull City,West Ham United,1,0,16,13,10,11,7,7,21,20,1,1.05,1.39,1.34,10,14,6 - 0 v Fulham ( H),0 - 3 v Spurs ( A),4 - 1 v Southampton ( A),4 - 1 v Liverpool ( A),41.1,58.9,4.0,6.0,11.0,18.0,520.0,668.0,312.0,450.0,18.0,16.0,44.0,29.0,6.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,11.0,13.0
09/28/2013,Manchester United,West Bromwich Albion,1,2,7,17,19,7,7,15,12,16,1.68,1.13,1.13,1.55,13,7,0 - 4 v Newcastle ( A),3 - 0 v Sunderland ( H),4 - 1 v Man City ( A),4 - 1 v Liverpool ( A),59.1,40.9,6.0,4.0,14.0,12.0,756.0,568.0,527.0,368.0,21.0,13.0,32.0,35.0,5.0,8.0,4.0,1.0,3.0,2.0,0.0,0.0,10.0,14.0
09/28/2013,Southampton,Crystal Palace,2,0,8,11,15,13,11,6,12,19,1.42,0.87,1.21,1.26,15,12,4 - 0 v Newcastle ( H),0 - 3 v Cardiff ( A),4 - 1 v Man City ( A),1 - 4 v Fulham ( H),60.8,39.2,4.0,0.0,12.0,8.0,765.0,550.0,537.0,338.0,15.0,22.0,35.0,27.0,8.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,11.0,15.0
09/28/2013,Swansea City,Arsenal,1,2,12,4,11,24,9,7,18,7,1.42,1.79,1.42,1.08,8,17,4 - 0 v Sunderland ( H),4 - 1 v Norwich ( H),1 - 4 v Man Utd ( H),6 - 0 v Chelsea ( A),58.5,41.5,3.0,4.0,10.0,10.0,812.0,622.0,624.0,437.0,16.0,18.0,7.0,16.0,4.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,6.0,11.0
09/28/2013,Tottenham Hotspur,Chelsea,1,1,6,3,21,25,6,7,11,6,1.45,1.87,1.34,0.71,14,18,5 - 1 v Sunderland ( H),6 - 0 v Arsenal ( H),6 - 0 v Man City ( A),2 - 0 v Newcastle ( A),53.5,46.5,3.0,5.0,12.0,11.0,616.0,548.0,409.0,343.0,14.0,21.0,28.0,24.0,4.0,5.0,2.0,10.0,5.0,1.0,0.0,1.0,16.0,14.0
09/29/2013,Stoke City,Norwich City,0,1,9,18,13,8,11,9,14,21,1.18,0.74,1.37,1.63,9,12,1 - 4 v Aston Villa ( A),3 - 1 v West Ham ( H),5 - 1 v Newcastle ( A),7 - 0 v Man City ( A),55.8,44.2,1.0,3.0,8.0,8.0,687.0,604.0,463.0,366.0,22.0,35.0,29.0,31.0,7.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,14.0,12.0
