,home_team,away_team,home_score,away_score,home_strength,away_strength,t-3 home_attacking,t-3 home_defending,t-3 home_oppstrength,t-3 home_home,t-3 away_attacking,t-3 away_defending,t-3 away_oppstrength,t-3 away_home,t-2 home_attacking,t-2 home_defending,t-2 home_oppstrength,t-2 home_home,t-2 away_attacking,t-2 away_defending,t-2 away_oppstrength,t-2 away_home,t-1 home_attacking,t-1 home_defending,t-1 home_oppstrength,t-1 home_home,t-1 away_attacking,t-1 away_defending,t-1 away_oppstrength,t-1 away_home
1595,Manchester United,Tottenham Hotspur,2,1,-0.3333333333333333,0.0,0,1,-2.0,-1,1,2,0.0,-1,1,1,0.0,1,1,1,0.0,-1,2,2,0.0,1,3,2,0.0,-1
1603,Manchester United,Everton,1,1,0.3333333333333333,-0.6666666666666666,1,1,0.0,1,1,2,0.0,-1,2,2,0.0,1,2,5,0.0,-1,2,1,0.0,1,3,1,0.0,1
1610,Manchester United,Newcastle United,4,1,0.3333333333333333,-0.6666666666666666,2,2,0.0,1,0,2,0.0,-1,2,1,0.0,1,0,1,0.0,-1,1,1,-0.6666666666666666,1,1,0,0.0,1
1611,Burnley,Manchester United,0,2,-1.6666666666666667,1.3333333333333333,0,5,0.0,-1,2,1,0.0,1,1,0,-0.6666666666666666,1,1,1,-0.6666666666666666,1,0,1,0.6666666666666666,-1,4,1,-0.6666666666666666,1
1615,Arsenal,Manchester United,2,0,0.3333333333333333,1.6666666666666667,3,1,0.0,-1,1,1,-0.6666666666666666,1,0,0,0.0,-1,4,1,-0.6666666666666666,1,1,2,0.0,1,2,0,0.0,-1
1623,Liverpool,Manchester United,2,0,2.6666666666666665,1.0,5,2,0.3333333333333333,1,4,1,-0.6666666666666666,1,4,0,2.0,-1,2,0,0.0,-1,1,0,0.6666666666666666,-1,0,2,0.3333333333333333,-1
1627,Manchester United,Burnley,0,2,-0.6666666666666666,-1.0,2,0,0.0,-1,1,2,-1.3333333333333333,1,0,2,0.3333333333333333,-1,0,3,0.3333333333333333,-1,0,2,0.0,-1,2,1,0.0,1
1635,Chelsea,Manchester United,0,2,-0.3333333333333333,-2.0,0,1,-2.3333333333333335,-1,0,2,0.3333333333333333,-1,2,2,0.3333333333333333,1,0,2,0.0,-1,2,2,1.6666666666666667,-1,0,2,0.0,1
1641,Everton,Manchester United,1,1,0.3333333333333333,-0.6666666666666666,2,2,-1.0,1,0,2,0.0,-1,3,1,0.0,1,0,2,0.0,1,2,3,1.3333333333333333,-1,2,0,0.0,-1
1646,Tottenham Hotspur,Manchester United,1,1,0.0,0.0,3,2,0.0,-1,0,2,0.0,1,1,2,0.0,-1,2,0,0.0,-1,1,1,0.0,-1,1,1,0.3333333333333333,-1
